Trade Year,Options Class,Underlying,Product Type,Exchange,Volume
2020,2BKNG,BKNG,S,CBOE,8
2020,BKNG,BKNG,S,CBOE,300182
2020,2BKR,BKR,S,CBOE,1752
2020,BKR,BKR,S,CBOE,42357
2020,BKU,BKU,S,CBOE,1680
2020,BL,BL,S,CBOE,11073
2020,BLCM,BLCM,S,CBOE,2999
2020,BLCN,BLCN,S,CBOE,6289
2020,BLD,BLD,S,CBOE,4816
2020,BLDP,BLDP,S,CBOE,172125
2020,BLDR,BLDR,S,CBOE,42257
2020,BLI,BLI,S,CBOE,2491
2020,2BLK,BLK,S,CBOE,1303
2020,BLK,BLK,S,CBOE,84192
2020,BLKB,BLKB,S,CBOE,2025
2020,2BLL,BLL,S,CBOE,3
2020,BLL,BLL,S,CBOE,46115
2020,2BLMN,BLMN,S,CBOE,10000
2020,BLMN,BLMN,S,CBOE,81864
2020,BLNK,BLNK,S,CBOE,483189
2020,BLOK,BLOK,S,CBOE,6181
2020,BLUE,BLUE,S,CBOE,46076
2020,BLV,BLV,S,CBOE,4570
2020,BMA,BMA,S,CBOE,7905
2020,BMCH,BMCH,S,CBOE,7105
2020,BMI,BMI,S,CBOE,2022
2020,1BMO,BMO,S,CBOE,100
2020,2BMO,BMO,S,CBOE,79000
2020,BMO,BMO,S,CBOE,10465
2020,BMRN,BMRN,S,CBOE,76423
2020,2BMY,BMY,S,CBOE,74932
2020,2BMY1,BMY,S,CBOE,15
2020,BMY,BMY,S,CBOE,1153170
2020,BMY1,BMY,S,CBOE,3542
2020,BND,BND,S,CBOE,6617
2020,BNDX,BNDX,S,CBOE,3196
2020,BNED,BNED,S,CBOE,5534
2020,BNFT,BNFT,S,CBOE,3265
2020,BNL,BNL,S,CBOE,205
2020,BNO,BNO,S,CBOE,36000
2020,2BNS,BNS,S,CBOE,160600
2020,BNS,BNS,S,CBOE,10481
2020,1BNTX,BNTX,S,CBOE,3000
2020,BNTX,BNTX,S,CBOE,179552
2020,BOIL,BOIL,S,CBOE,39752
2020,BOIL1,BOIL,S,CBOE,258
2020,BOKF,BOKF,S,CBOE,3936
2020,BOLD,BOLD,S,CBOE,65
2020,BOND,BOND,S,CBOE,2306
2020,BOOM,BOOM,S,CBOE,2000
2020,BOOT,BOOT,S,CBOE,16413
2020,BOTZ,BOTZ,S,CBOE,10807
2020,BOX,BOX,S,CBOE,178371
2020,2BP,BP,S,CBOE,8054
2020,BP,BP,S,CBOE,922076
2020,BPMC,BPMC,S,CBOE,17284
